"id","artist","song","lyrics"
317379,"bob-mould","star machine","You had a chance to go around the world
But you had to be a silver bird
A revelation wouldn't matter much to you
So I heard you bought a lousy dream
You took a number from the star machine
The star machine is spitting numbers all on you
You say it
You say it
You say it
You say it
You leave your family and some friends behind
It wasn't long until you lost your mind
The star machine is doing fine, but how are you?
You told the world you had to fire the band
Your little world has gotten out of hand
The star machine will hand your ass right back to you
You say you want it, you say you need it (You say it)
You say it's everything, never wanna leave it (You say it)
The star machine is coming down on you (You say it)
And you and you and you (You say it)
You say you want it, you say you need it (You say it)
You say it's everything, never wanna be it (You say it)
The star machine is coming down on you oh yeah (You say it)
Now it's getting hot in here
I'm doing everything you want me to
But nothing's ever good enough for you
You sign on right out of here
You say you want it, you say you need it (You say it)
You say it's everything, never wanna leave it (You say it)
The star machine is coming down on you and you and you and you (You say it)
Who told you sorry, how you were treated (You say it)
You couldn't handle it, and now you're found to be it (You say it)
Your star machine has taken all away from you and you and you (You say it)
You say it, and you
You say it
You say it"
127802,"burl-ives","snow for johnny","Please send some snow
Some snow for Johnny
He wants to build
A big snowman
It was a week just before Christmas
Way down in Louisiana
A little boy was kneeling by his bed
In a manner poised and grand
I listened as he said his prayers
His voice came soft and low
He said, ""God tell Saint Nicholas
To send a little snow""
Please send some snow
Some snow for Johnny
He wants to build
A big snowman
I'd like to build a snowman
Like the other children do
I've got an old top hat and a walking cane
Got a big long cigar too
Yes, everything is ready
And I'm all set to go
How can I build a snowman
When I haven't any snow
Please send some snow
Some snow for Johnny
He wants to build
A big snowman
Now, early Christmas morning
Much to his surprise
Snowflakes by the million
Were falling from the skies
Down the stairs and out-of-doors
As fast as he could go
So happy that Saint Nicholas
Had sent a little snow
Thanks for the snow
The snow for Johnny
Now he can build
A big snowman
Thanks for the snow
The snow for Johnny
Now he can build
A big snowman
Thanks for the snow
The snow for Johnny
Now he can build
A big snowman"
262349,"beth-hart","forever young",""
283656,"the-apache-relay","katie queen of tennessee","Katie Queen
Of Tennessee
I'm on my knees
Unworthy
What shall be
Our destiny
To find true love or tragedy
If you see me runnin'
Through the streets I'm calling
Into love I'm falling
Katie be my darlin'
And If you hear the sirens
I hope you find it charming
I'll be out in the mornin'
Katie be my darlin'
If only she
Would notice me
What can I do
To make her see
That I would swim
The ocean wide
From New Orleans
To Galilee
If you see me runnin'
Through the streets I'm calling
Into love I'm falling
Katie be my darlin'
And If you hear the sirens
I hope you find it charming
I'll be out in the mornin'
Katie be my darlin'
Oh Katie queen of Tennessee
My Katie queen of Tennessee
Tell me who I have to be
To be the one beside you dear
If you see me runnin'
Through the streets I'm calling
Into love I'm falling
Katie be my darlin'
And If you hear the sirens
I hope you find it charming
I'll be out in the mornin'
Katie be my darlin'"
232543,"angeles-del-infierno","maldito sea tu nombre","Viendo oculto en tÃº disfraz
En mis sueÃ±os siempre estÃ¡s
No lo puedo remediar
Te deseo cada vez mÃ¡s
Al principio todo era paz
Y contigo llegÃ³ la maldad
PrÃ­ncipe de las tinieblas con un fuego arrasador
Has escrito la historia de la humanidad
Haces siempre lo que quieres sin tener piedad
Dios eterno todo lo haces a tÃº voluntad
Maldito, maldito sea tÃº nombre...
Maldito, maldito sea tÃº nombre...
Tan grande es su poder que todo lo consigues
Â¿cuÃ¡l es tÃº gran secreto?
Que nada te prohÃ­be
Haces siempre lo que quieres sin tener piedad
Dios eterno todo lo haces a tÃº voluntad
Maldito, maldito sea tÃº nombre
Maldito, maldito sea tÃº nombre
Maldito, maldito sea tÃº nombre
Maldito, maldito sea tÃº nombre"
248103,"black-lungs","timeless","This is nothing original, identifiable
Just familiarity to tap your toes to
The soundtrack to wake up something inside of you
You never knew existed
There is nothing prolific here
Nothing hasn't been done before
This is a sense of time and place
And a feeling to hold on to grow old with this
Hold this as tight as you can, make this timeless
I could remember not too long ago
This was all new to me
Back home things had fell to pieces
But you can't pick them up and start again
Oh no, would have never met you and you
Could have done without me and you
Things change but I wish some stayed the same
This is the spirit of something we never knew
But we all fell hard for it
I'm gonna hold this tight as I can
I'm gonna hold this tight as I can
We will keep singing along
Because when it mattered most
You touched our souls
Every single one of you
What the hell are you doing here?
If all this is and all we are
Are strangers to each other
We will keep singing along
Because when it mattered the most
You touched our souls"
76729,"dierks-bentley","can t be replaced","Levi jacket broken in just right
I left it on the bleachers that Friday night
Felt so cool in the stone-washed fade
There's just some things that can't be replaced
That runaround freedom summer eighty-nine
Spinnin' that bottle on a lot of first times
It was all summed up on a Memorex mixtape
There's just some things that can't be replaced
Woah, it don't matter how hard you try
Woah, all the money in the world won't ever buy
What you miss, what you want back
It'd be nice, but life don't work like that
You can get damn close, but it won't ever be the same
There's just some things that can't be replaced
There's just some things that can't be replaced
Sediment hay, and a heart of gold
Chevy Cavalier on an old back-road
A boot's farm kiss that I still taste
There's just some things that can't be replaced
Woah, no matter how hard you try
Woah, all the money in the world won't ever buy
What you miss, what you want back
It'd be nice, but life don't work like that
You can get damn close, but it won't ever be the same
There's just some things that can't be replaced
Woah
For fifteen years right by my side
From a single man to three kids and a wife
Friends come and go, but when it comes to Jake
There's just some things that can't be replaced
Woah, no matter how hard you try
Woah, all the money in the world won't ever buy
What you miss, what you want back
It'd be nice, but life don't work like that
You can get damn close, but it won't ever be the same
There's just some things that can't be replaced
There's just some things that can't be replaced
Woah (woah)"
362099,"clay-walker","could i ask you not to dance","Now I really should have known
That you'd
Show up sooner or later
Knowin' every Friday night
They always have
Your favorite band
Though someone new
Is with you at our table
Would it be too much
For me to ask
To ask you not to dance
Not tonight, not until
My heart's had some time to heal
Not right now, til I'm gone
I won't be here very long
And when I leave, you can stay
And just dance the night away
But 'til then, do you think
That there's a chance
I could ask you not to dance
I saw you slip the leader of the band
A piece of paper
I knew what song they'd play
Before he took it from your hand
I wonderin' if you'd do me
One last favor
And if the answer's no
I'll understand
Could I ask you not to dance"
146237,"alan-jackson","too much of a good thing","Smiles in the morning as warm as sunshine
Kisses when I lay down at night
And two loving arms to console me
I should be scared it's so right
But too much of a good thing is a good thing
Feelings like this can't be wrong
And too much of a good thing is a good thing
And we've got a good thing going on
You look in my eyes and see my thinking
I know when you're happy, and when you're sad
Some would say it's too perfect
But I don't think what we have is so bad
Cause too much of a good thing is a good thing
Feelings like this can't be wrong
And too much of a good thing is a good thing
And we've got a good thing going on"
177151,"dillards","banjo in the hollow",""
