"id","genre"
175311,"Country"
329466,"Rock"
113096,"Metal"
268426,"Metal"
6566,"Metal"
79585,"Metal"
207909,"Metal"
252285,"Country"
335783,"Rock"
345763,"Country"
64721,"Rock"
29533,"Country"
201209,"Country"
176190,"Country"
187726,"Rock"
166879,"Metal"
23045,"Metal"
176915,"Metal"
207924,"Metal"
345632,"Country"
220787,"Rock"
90201,"Rock"
208147,"Rock"
336142,"Metal"
206757,"Metal"
298895,"Country"
337391,"Rock"
320454,"Rock"
270764,"Country"
5070,"Metal"
58247,"Rock"
345544,"Metal"
140485,"Metal"
361051,"Folk"
74519,"Country"
6549,"Metal"
90535,"Rock"
318879,"Metal"
193857,"Folk"
150719,"Rock"
260060,"Metal"
71565,"Metal"
100247,"Rock"
90125,"Metal"
62123,"Metal"
67789,"Country"
316509,"Metal"
15903,"Rock"
29580,"Country"
159708,"Country"
214196,"Rock"
83484,"Rock"
218258,"Metal"
128765,"Metal"
67796,"Country"
329648,"Metal"
105521,"Country"
68255,"Country"
52383,"Metal"
95218,"Country"
137869,"Metal"
10403,"Folk"
30436,"Metal"
309965,"Country"
40306,"Country"
316511,"Metal"
104640,"Metal"
218263,"Metal"
193839,"Folk"
8527,"Rock"
67711,"Country"
75882,"Rock"
171161,"Rock"
188329,"Metal"
99210,"Rock"
131927,"Metal"
6940,"Metal"
271165,"Folk"
31151,"Country"
270598,"Country"
251809,"Rock"
31823,"Country"
325710,"Country"
278316,"Metal"
348819,"Rock"
280029,"Folk"
320912,"Rock"
82086,"Country"
270777,"Country"
329095,"Rock"
76674,"Country"
314313,"Country"
81732,"Metal"
178157,"Rock"
16756,"Folk"
361053,"Folk"
122834,"Metal"
234039,"Folk"
188663,"Rock"
337346,"Rock"
135000,"Metal"
107708,"Rock"
120168,"Folk"
234598,"Metal"
270671,"Country"
20167,"Rock"
150846,"Rock"
270650,"Country"
199378,"Country"
7650,"Metal"
234029,"Folk"
218367,"Folk"
7925,"Folk"
19845,"Metal"
1368,"Country"
91895,"Rock"
218267,"Metal"
120295,"Country"
26487,"Country"
208262,"Metal"
130063,"Country"
236348,"Rock"
269913,"Rock"
245641,"Country"
157752,"Folk"
311633,"Metal"
108399,"Rock"
129399,"Country"
333369,"Rock"
6966,"Folk"
161791,"Metal"
299755,"Metal"
173396,"Country"
49629,"Metal"
78505,"Rock"
139521,"Country"
156274,"Rock"
166871,"Metal"
208017,"Metal"
349321,"Metal"
168188,"Metal"
35245,"Rock"
270726,"Country"
277857,"Metal"
304310,"Rock"
39283,"Metal"
347151,"Country"
290900,"Metal"
319143,"Rock"
13800,"Folk"
101171,"Rock"
56363,"Metal"
29680,"Country"
232435,"Country"
159783,"Country"
63660,"Country"
292922,"Rock"
80138,"Country"
17501,"Metal"
43363,"Country"
310189,"Country"
265939,"Folk"
68041,"Country"
163854,"Rock"
165990,"Rock"
111304,"Rock"
21245,"Rock"
130199,"Folk"
15246,"Rock"
16935,"Country"
169903,"Rock"
46658,"Country"
217782,"Folk"
248809,"Rock"
153058,"Country"
25321,"Rock"
243223,"Metal"
23054,"Metal"
38898,"Metal"
172502,"Rock"
71138,"Metal"
127845,"Rock"
28134,"Metal"
28912,"Rock"
335547,"Metal"
177152,"Country"
100232,"Metal"
326449,"Country"
159972,"Country"
256115,"Rock"
75828,"Rock"
336153,"Metal"
309985,"Country"
7851,"Folk"
68417,"Metal"
176262,"Country"
31952,"Country"
58100,"Folk"
113170,"Metal"
81631,"Metal"
163054,"Metal"
167102,"Rock"
122061,"Folk"
191436,"Metal"
89345,"Folk"
61181,"Metal"
31339,"Country"
271435,"Country"
206762,"Metal"
39132,"Country"
81754,"Metal"
187032,"Metal"
154124,"Country"
249720,"Rock"
56483,"Metal"
168178,"Metal"
104819,"Country"
319258,"Rock"
320498,"Metal"
93332,"Country"
319809,"Metal"
298903,"Country"
196318,"Metal"
119381,"Rock"
206733,"Country"
177478,"Folk"
147222,"Country"
65943,"Rock"
299802,"Metal"
280480,"Metal"
124673,"Metal"
196569,"Country"
7863,"Folk"
340310,"Metal"
344663,"Rock"
67915,"Country"
152747,"Folk"
266203,"Folk"
120194,"Folk"
131161,"Country"
104892,"Country"
208275,"Metal"
54834,"Rock"
161362,"Country"
142680,"Country"
29710,"Country"
100244,"Metal"
264609,"Folk"
198033,"Metal"
310476,"Rock"
226573,"Rock"
314295,"Country"
76877,"Metal"
156694,"Rock"
183172,"Country"
273233,"Rock"
318583,"Country"
5032,"Rock"
326061,"Country"
216587,"Rock"
290210,"Rock"
305220,"Country"
226845,"Metal"
83828,"Metal"
146652,"Rock"
110298,"Rock"
58056,"Folk"
29605,"Country"
262835,"Rock"
290260,"Country"
12471,"Rock"
9458,"Metal"
206401,"Rock"
336596,"Rock"
54132,"Folk"
164457,"Metal"
145397,"Folk"
304773,"Folk"
356666,"Folk"
175507,"Country"
183580,"Country"
104719,"Rock"
323953,"Metal"
316078,"Rock"
114921,"Rock"
207299,"Rock"
317537,"Rock"
